check_id,label,category_id,category_name,raw_value,normalized,tool,deduplicated,timestamp,environment_label,runtime_seconds
checking_if_process_loaded_modules_contains_avghookx_dll,Checking if process loaded modules contains: avghookx.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_avghooka_dll,Checking if process loaded modules contains: avghooka.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_snxhk_dll,Checking if process loaded modules contains: snxhk.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_sbiedll_dll,Checking if process loaded modules contains: sbiedll.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_dbghelp_dll,Checking if process loaded modules contains: dbghelp.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_api_log_dll,Checking if process loaded modules contains: api_log.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_dir_watch_dll,Checking if process loaded modules contains: dir_watch.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_pstorec_dll,Checking if process loaded modules contains: pstorec.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_vmcheck_dll,Checking if process loaded modules contains: vmcheck.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_wpespy_dll,Checking if process loaded modules contains: wpespy.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_process_loaded_modules_contains_cmdvrt64_dll,Checking if process loaded modules contains: cmdvrt64.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
